transaction_id,date,amount,merchant,user_id
5011,2024-10-07,2037,Best Buy,user321
5012,2024-11-01,1831,Netflix,user654
5013,2024-10-09,4493,Netflix,user456
5014,2024-10-10,3396,Starbucks,user789
5015,2024-10-30,497,Best Buy,user654
5016,2024-10-23,571,Starbucks,user654
5017,2024-10-01,4748,Costco,user456
5018,2024-10-19,4376,Best Buy,user456
5019,2024-10-28,3517,Costco,user456
5020,2024-10-04,3163,Target,user321
5021,2024-10-22,3202,Uber,user789
5022,2024-10-06,3290,Starbucks,user654
5023,2024-10-07,2746,Costco,user321
5024,2024-10-10,4967,Netflix,user321
5025,2024-09-20,1234,Apple Store,user123
5026,2024-09-23,4175,Uber,user321
5027,2024-10-19,2530,Best Buy,user456
5028,2024-09-25,317,Amazon,user654
5029,2024-09-27,3098,Amazon,user789
5030,2024-11-02,4758,Amazon,user123
5031,2024-10-08,2161,Apple Store,user456
5032,2024-09-17,2744,Starbucks,user654
5033,2024-10-06,1403,Costco,user123
5034,2024-09-22,886,Walmart,user123
5035,2024-10-09,3058,Netflix,user654
5036,2024-10-15,3175,Uber,user321
5037,2024-10-23,3810,Target,user123
5038,2024-10-06,780,Tiffany & Co.,user123
5039,2024-10-02,3746,Best Buy,user456
5040,2024-10-28,4544,Amazon,user456
5041,2024-09-22,4239,Target,user789
5042,2024-10-18,1858,Uber,user789
5043,2024-11-02,4200,Walmart,user321
5044,2024-10-08,3810,Starbucks,user654
5045,2024-10-14,2597,Walmart,user123
5046,2024-10-12,2545,Apple Store,user789
5047,2024-10-13,2936,Amazon,user321
5048,2024-10-09,1765,Tiffany & Co.,user123
5049,2024-10-19,4534,Apple Store,user789
5050,2024-10-01,1270,Costco,user321
5051,2024-10-14,1362,Amazon,user789
5052,2024-10-18,267,Tiffany & Co.,user456
5053,2024-10-03,3822,Tiffany & Co.,user456
5054,2024-10-01,3577,Best Buy,user123
5055,2024-09-24,1486,Walmart,user654
5056,2024-10-12,1490,Starbucks,user123
5057,2024-10-31,1927,Costco,user123
5058,2024-10-13,3421,Tiffany & Co.,user321
5059,2024-10-10,454,Uber,user123
5060,2024-10-20,2151,Tiffany & Co.,user321
5061,2024-09-24,2817,Apple Store,user654
5062,2024-10-24,4475,Best Buy,user654
5063,2024-10-06,4297,Target,user123
5064,2024-09-17,1330,Starbucks,user321
5065,2024-10-30,466,Tiffany & Co.,user123
5066,2024-10-09,2852,Walmart,user789
5067,2024-09-29,991,Uber,user321
5068,2024-10-17,3007,Tiffany & Co.,user321
5069,2024-10-23,2569,Best Buy,user456
5070,2024-09-23,450,Walmart,user321
5071,2024-10-23,811,Apple Store,user123
5072,2024-09-26,1356,Walmart,user123
5073,2024-10-02,1407,Amazon,user789
5074,2024-10-31,1331,Starbucks,user654
5075,2024-09-17,2860,Tiffany & Co.,user654
5076,2024-10-15,2912,Netflix,user654
5077,2024-10-01,4785,Netflix,user123
5078,2024-10-27,3074,Target,user321
5079,2024-10-22,53,Best Buy,user123
5080,2024-09-24,3555,Target,user321
5081,2024-11-01,4920,Tiffany & Co.,user456
5082,2024-10-15,4512,Walmart,user654
5083,2024-10-18,4646,Amazon,user654
5084,2024-09-26,1470,Amazon,user456
5085,2024-09-19,3393,Costco,user123
5086,2024-09-25,2969,Amazon,user654
5087,2024-10-02,3345,Walmart,user789
5088,2024-10-17,4957,Starbucks,user321
5089,2024-10-05,4327,Walmart,user321
5090,2024-09-21,4854,Target,user456
5091,2024-10-28,3484,Starbucks,user654
5092,2024-10-25,4824,Tiffany & Co.,user123
5093,2024-09-29,2161,Costco,user654
5094,2024-09-24,4393,Target,user456
5095,2024-09-18,2868,Apple Store,user654
5096,2024-10-23,4049,Starbucks,user321
5097,2024-10-15,3126,Netflix,user654
5098,2024-10-27,3212,Starbucks,user123
5099,2024-10-28,4543,Uber,user456
5100,2024-10-03,1111,Walmart,user654
5101,2024-10-02,4073,Netflix,user321
5102,2024-10-26,449,Walmart,user789
5103,2024-10-26,461,Apple Store,user789
5104,2024-10-14,234,Uber,user789
5105,2024-10-31,4030,Uber,user789
5106,2024-10-04,622,Apple Store,user456
5107,2024-10-30,3390,Amazon,user123
5108,2024-10-29,790,Walmart,user789
5109,2024-09-24,1383,Walmart,user321
5110,2024-10-03,1649,Apple Store,user789
